dates;gdpc1;NBER
01-Jan-1947;2034,45;0
01-Apr-1947;2029,024;0
01-Jul-1947;2024,834;0
01-Oct-1947;2056,508;0
01-Jan-1948;2087,442;0
01-Apr-1948;2121,899;0
01-Jul-1948;2134,056;0
01-Oct-1948;2136,44;0
01-Jan-1949;2107,001;1
01-Apr-1949;2099,814;1
01-Jul-1949;2121,493;1
01-Oct-1949;2103,688;1
01-Jan-1950;2186,365;0
01-Apr-1950;2253,045;0
01-Jul-1950;2340,112;0
01-Oct-1950;2384,92;0
01-Jan-1951;2417,311;0
01-Apr-1951;2459,196;0
01-Jul-1951;2509,88;0
01-Oct-1951;2515,408;0
01-Jan-1952;2542,286;0
01-Apr-1952;2547,762;0
01-Jul-1952;2566,153;0
01-Oct-1952;2650,431;0
01-Jan-1953;2699,699;0
01-Apr-1953;2720,566;0
01-Jul-1953;2705,258;1
01-Oct-1953;2664,302;1
01-Jan-1954;2651,566;1
01-Apr-1954;2654,456;1
01-Jul-1954;2684,434;0
01-Oct-1954;2736,96;0
01-Jan-1955;2815,134;0
01-Apr-1955;2860,942;0
01-Jul-1955;2899,578;0
01-Oct-1955;2916,985;0
01-Jan-1956;2905,656;0
01-Apr-1956;2929,666;0
01-Jul-1956;2927,034;0
01-Oct-1956;2975,209;0
01-Jan-1957;2994,259;0
01-Apr-1957;2987,699;0
01-Jul-1957;3016,979;0
01-Oct-1957;2985,775;1
01-Jan-1958;2908,281;1
01-Apr-1958;2927,395;1
01-Jul-1958;2995,112;0
01-Oct-1958;3065,141;0
01-Jan-1959;3123,978;0
01-Apr-1959;3194,429;0
01-Jul-1959;3196,683;0
01-Oct-1959;3205,79;0
01-Jan-1960;3277,847;0
01-Apr-1960;3260,177;0
01-Jul-1960;3276,133;1
01-Oct-1960;3234,087;1
01-Jan-1961;3255,914;1
01-Apr-1961;3311,181;0
01-Jul-1961;3374,742;0
01-Oct-1961;3440,924;0
01-Jan-1962;3502,298;0
01-Apr-1962;3533,947;0
01-Jul-1962;3577,362;0
01-Oct-1962;3589,128;0
01-Jan-1963;3628,306;0
01-Apr-1963;3669,02;0
01-Jul-1963;3749,681;0
01-Oct-1963;3774,264;0
01-Jan-1964;3853,835;0
01-Apr-1964;3895,793;0
01-Jul-1964;3956,657;0
01-Oct-1964;3968,878;0
01-Jan-1965;4064,915;0
01-Apr-1965;4116,267;0
01-Jul-1965;4207,782;0
01-Oct-1965;4304,731;0
01-Jan-1966;4409,518;0
01-Apr-1966;4424,581;0
01-Jul-1966;4462,053;0
01-Oct-1966;4498,66;0
01-Jan-1967;4538,498;0
01-Apr-1967;4541,28;0
01-Jul-1967;4584,246;0
01-Oct-1967;4618,812;0
01-Jan-1968;4713,013;0
01-Apr-1968;4791,758;0
01-Jul-1968;4828,892;0
01-Oct-1968;4847,885;0
01-Jan-1969;4923,76;0
01-Apr-1969;4938,728;0
01-Jul-1969;4971,349;0
01-Oct-1969;4947,104;0
01-Jan-1970;4939,759;1
01-Apr-1970;4946,77;1
01-Jul-1970;4992,357;1
01-Oct-1970;4938,857;1
01-Jan-1971;5072,996;0
